FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),DDR(MHz),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
58,0,0,33.05,53.51,50.59,54.74,57.45,49.49,60.00,64.65,38.78,50.51,1800,1800,1800,1800,800,800,800,700,74.20,4266,100.00,572,56,44.00,1657,3.843
59,0,0,33.01,55.20,63.22,57.78,61.70,58.16,72.73,51.04,24.74,53.61,1600,1600,1600,1600,900,900,900,900,73.10,4266,96.00,616,56,44.00,1002,3.873
56,0,0,49.51,50.07,54.12,54.84,48.39,57.58,71.88,41.24,23.71,49.49,800,800,800,800,2450,2450,2450,2550,74.80,3200,96.00,852,56,44.00,1002,3.873
59,0,0,33.00,48.94,50.00,52.27,47.25,49.48,59.60,44.33,37.37,52.94,2000,2000,2000,2000,1900,1900,1900,1400,76.10,4266,96.00,747,56,44.00,1513,3.873
59,0,0,33.04,44.28,48.28,49.45,42.11,50.00,63.46,40.00,19.15,39.39,800,800,800,800,1700,1700,1700,500,77.90,3200,99.00,852,56,44.00,1585,3.849
54,0,0,33.01,43.83,50.56,52.13,38.46,46.08,52.00,45.10,27.72,41.00,2000,2000,2000,2000,1600,1600,1600,1600,78.70,4266,97.00,815,56,44.00,1585,3.849
56,0,0,33.09,43.78,45.78,50.54,34.09,49.00,52.04,37.11,34.69,45.92,2000,2000,2000,2000,1200,1200,1200,500,79.70,4266,98.00,852,56,44.00,1585,3.849
54,0,0,33.04,48.69,53.93,49.45,45.92,47.96,50.00,52.53,33.67,55.56,1900,1900,1900,1900,1500,1500,1500,500,80.30,5500,99.00,852,56,44.00,1747,3.849
52,0,0,33.01,49.81,49.41,49.45,47.00,43.30,61.86,48.00,34.34,64.00,2000,2000,2000,2000,1700,1700,1700,1200,80.10,5500,98.00,852,56,44.00,1747,3.851
50,0,0,49.50,49.61,51.14,48.31,44.57,56.57,57.73,39.80,38.78,59.00,1100,1100,1100,1100,900,900,900,900,78.80,3200,80.00,822,56,44.00,1641,3.851
55,0,0,33.10,48.09,52.17,48.42,50.00,47.52,61.00,39.39,39.22,50.00,1200,1200,1200,1200,2400,2400,2400,1500,80.30,4266,86.00,852,56,44.00,1494,3.851
57,0,0,33.00,43.92,50.00,45.05,46.32,43.62,57.58,41.84,15.63,52.48,2000,2000,2000,2000,2850,2850,2850,2150,80.90,5500,93.00,852,56,44.00,1494,3.84
57,0,0,33.02,54.61,49.44,50.55,44.44,59.79,64.95,51.02,45.92,67.37,800,800,800,800,1400,1400,1400,500,81.60,4266,98.00,852,56,44.00,1494,3.84
50,0,0,66.00,46.40,48.24,45.56,46.88,38.71,61.46,46.53,34.69,47.52,1700,1700,1700,1700,1400,1400,1400,500,79.50,4266,98.00,747,56,44.00,1785,3.84
59,0,0,33.02,48.38,52.22,54.26,44.79,50.51,63.27,45.45,26.26,51.46,800,800,800,800,1400,1400,1400,1300,80.00,5500,98.00,800,56,44.00,1785,3.855
60,0,0,33.01,45.20,50.00,52.17,40.00,43.88,63.00,41.24,26.53,45.45,950,950,950,950,1500,1500,1500,1400,81.10,5500,98.00,852,56,44.00,1596,3.855
46,0,0,66.00,37.93,42.17,44.09,41.49,40.82,49.49,33.33,19.19,35.71,850,850,850,850,2150,2150,2150,2150,78.80,6400,99.00,852,56,44.00,1676,3.855
54,0,0,33.05,52.12,60.44,55.68,57.43,57.58,53.00,45.36,39.22,49.00,1200,1200,1200,1200,1200,1200,1200,1300,80.90,3200,97.00,852,56,44.00,1676,3.855
58,0,0,33.01,49.15,49.43,53.93,47.37,49.48,59.18,48.98,31.00,54.46,1250,1250,1250,1250,2850,2850,2850,500,78.40,3200,88.00,721,56,44.00,1676,3.839
52,0,0,33.00,42.25,47.13,43.82,37.63,37.11,48.48,43.81,33.65,46.53,1250,1250,1250,1250,2450,2450,2450,2550,81.20,5500,92.00,852,56,44.00,1585,3.839
56,0,0,33.00,42.69,48.91,50.52,44.00,41.05,55.67,38.54,19.39,42.16,900,900,900,900,1700,1700,1700,1800,77.10,3200,100.00,555,56,44.00,1585,3.839
56,0,0,33.04,44.96,51.19,47.87,48.42,48.48,50.98,41.58,28.57,44.66,1150,1150,1150,1150,2850,2850,2850,2000,79.70,4266,98.00,852,56,44.00,1585,3.855
54,1,1,99.02,42.08,44.19,45.05,37.50,51.00,46.88,36.08,19.79,57.58,1000,1000,1000,1000,1400,1400,1400,1400,80.00,5500,93.00,822,56,44.00,1778,3.855
54,0,0,49.50,47.15,49.43,52.17,45.26,53.54,48.45,40.82,32.35,54.08,1100,1100,1100,1100,1400,1400,1400,1400,80.20,4266,95.00,800,56,44.00,1778,3.855
56,0,0,33.09,46.00,51.16,50.00,43.88,46.88,59.79,45.00,26.32,47.47,850,850,850,850,1000,1000,1000,1100,79.90,5500,97.00,852,56,44.00,1778,3.843
58,1,0,66.01,44.63,51.16,48.91,44.21,48.48,57.14,32.99,28.28,44.12,1200,1200,1200,1200,2400,2400,2400,500,79.50,4266,99.00,830,56,44.00,1513,3.843
59,0,0,33.01,44.30,51.65,48.42,44.09,50.00,62.63,39.18,20.00,39.80,1100,1100,1100,1100,1400,1400,1400,500,80.20,5500,95.00,852,56,44.00,1513,3.843
59,0,0,33.01,57.20,59.55,63.04,50.53,54.08,66.02,50.52,40.78,74.26,1900,1900,1900,1900,1900,1900,1900,2000,80.50,6400,98.00,852,56,44.00,1816,3.841
57,0,0,49.50,48.84,50.00,48.94,43.43,45.10,63.64,48.45,27.55,63.00,1150,1150,1150,1150,1400,1400,1400,500,81.80,4266,98.00,852,56,44.00,1808,3.841
55,0,0,49.45,47.99,53.41,46.15,39.36,50.00,58.00,44.33,30.61,59.41,1200,1200,1200,1200,1400,1400,1400,1300,82.10,6400,100.00,852,56,44.00,1808,3.841
54,0,0,33.02,49.94,55.43,46.81,42.86,48.48,58.59,49.49,38.89,60.95,800,800,800,800,1100,1100,1100,1100,81.90,2667,98.00,852,56,44.00,1808,3.837
53,0,0,49.47,50.92,50.56,50.00,48.45,53.61,60.42,45.83,37.11,59.60,1800,1800,1800,1800,1700,1700,1700,500,81.40,5500,98.00,852,56,44.00,1630,3.837
52,0,0,49.52,48.68,52.44,48.91,41.30,48.42,61.39,44.44,40.40,52.53,1050,1050,1050,1050,1600,1600,1600,600,79.90,4266,50.00,668,56,44.00,1630,3.837
57,0,0,33.00,51.61,57.14,57.73,52.04,54.64,65.31,47.47,29.79,50.50,2000,2000,2000,2000,1000,1000,1000,800,76.50,3200,96.00,572,56,44.00,1630,3.837
60,0,0,33.02,48.58,60.64,53.13,51.52,54.90,69.00,37.89,16.84,42.86,1100,1100,1100,1100,1000,1000,1000,1000,75.20,2667,91.00,572,56,44.00,1199,3.863
59,0,0,33.01,48.03,53.93,56.25,54.46,56.57,70.41,28.42,15.00,49.07,1250,1250,1250,1250,1200,1200,1200,500,74.60,2667,99.00,721,56,44.00,1199,3.863
57,0,0,49.50,46.19,45.88,51.65,39.33,48.94,62.24,34.74,40.21,44.90,1300,1300,1300,1300,2850,2850,2850,1000,79.80,6400,98.00,852,56,44.00,1199,3.863
54,0,0,33.02,44.15,47.67,46.94,39.58,47.57,46.53,44.23,33.65,49.52,2000,2000,2000,2000,1600,1600,1600,500,79.90,4266,98.00,852,56,44.00,1770,3.843
57,0,0,33.02,48.33,51.14,53.13,50.52,47.12,59.79,44.33,31.31,50.98,850,850,850,850,1300,1300,1300,1400,76.00,2667,91.00,538,56,44.00,1706,3.843
59,0,0,33.00,47.48,49.44,48.39,46.00,46.94,67.68,42.55,27.45,48.45,1300,1300,1300,1300,1800,1800,1800,1800,77.90,5500,89.00,807,56,44.00,1706,3.843
57,0,0,33.03,44.54,48.89,46.81,39.80,32.29,61.39,45.00,32.67,52.53,800,800,800,800,1800,1800,1800,1800,79.30,2667,95.00,852,56,44.00,1528,3.853
48,0,0,33.06,46.90,54.17,47.31,45.54,46.00,53.00,47.62,32.35,50.00,2000,2000,2000,2000,800,800,800,500,79.30,4266,98.00,852,56,44.00,1528,3.853
54,0,0,33.04,52.34,53.57,51.11,52.63,45.16,68.04,51.65,31.91,61.22,1500,1500,1500,1500,1300,1300,1300,1100,79.90,6400,97.00,852,56,44.00,1528,3.853
53,0,0,33.04,48.47,52.69,48.94,43.75,45.54,55.88,50.50,41.41,52.88,1100,1100,1100,1100,700,700,700,800,80.30,4266,97.00,852,56,44.00,1766,3.853
57,0,0,33.01,53.57,53.93,54.17,49.49,50.00,64.58,46.39,46.94,60.20,800,800,800,800,2000,2000,2000,1900,80.80,3200,97.00,845,56,44.00,1668,3.841
61,0,0,16.62,50.85,48.28,46.59,44.09,36.56,65.66,51.55,46.94,65.69,1050,1050,1050,1050,2850,2850,2850,600,88.40,5500,99.00,845,56,44.00,1668,3.841
58,0,0,33.02,54.92,52.75,52.58,44.33,52.43,77.23,59.22,35.92,64.42,1700,1700,1700,1700,1100,1100,1100,1700,81.30,4266,99.00,830,56,44.00,2103,3.841
53,0,0,33.07,43.67,48.81,47.25,35.87,34.07,56.70,39.78,32.98,53.61,1400,1400,1400,1400,1400,1400,1400,1700,81.60,6400,98.00,852,56,44.00,2103,3.841
58,0,0,33.02,48.98,54.35,51.52,45.74,47.52,64.71,46.08,31.68,50.00,800,800,800,800,1200,1200,1200,1200,80.20,5500,86.00,800,56,44.00,2103,3.843
55,0,0,33.04,44.86,55.43,53.06,37.23,38.14,58.16,42.86,28.16,46.94,950,950,950,950,1600,1600,1600,700,80.70,5500,97.00,852,56,44.00,1532,3.843
56,0,0,33.05,51.93,53.41,54.26,47.06,45.36,67.68,54.64,34.69,58.42,1000,1000,1000,1000,1400,1400,1400,900,78.50,3200,74.00,521,56,44.00,1607,3.843
60,0,0,33.00,48.40,54.84,52.08,51.49,51.55,67.68,36.84,26.00,47.47,1900,1900,1900,1900,2850,2850,2850,500,79.20,5500,92.00,721,56,44.00,1607,3.84
56,0,0,49.50,43.89,47.13,46.32,43.56,36.46,56.99,38.38,29.13,54.37,1000,1000,1000,1000,1400,1400,1400,700,79.40,6400,98.00,852,56,44.00,1509,3.84
56,0,0,33.01,51.86,49.41,47.87,50.00,59.79,61.70,51.04,38.30,54.17,1700,1700,1700,1700,1300,1300,1300,500,80.40,6400,99.00,852,55,44.10,1509,3.84
51,0,0,33.02,51.07,55.91,52.63,43.88,48.00,60.78,55.88,36.63,55.00,850,850,850,850,900,900,900,800,80.60,5500,96.00,852,55,44.10,1509,3.838
55,0,0,33.03,50.51,55.91,53.68,46.46,43.30,54.90,52.53,41.84,56.00,1200,1200,1200,1200,1000,1000,1000,1000,80.90,5500,98.00,852,55,44.10,1660,3.838
53,0,0,49.50,49.81,50.56,51.06,45.36,46.94,63.37,46.00,35.92,59.41,800,800,800,800,1600,1600,1600,1500,81.10,4266,98.00,852,55,44.10,1641,3.838
56,0,0,33.02,53.47,55.91,56.44,48.98,49.49,56.86,54.46,46.00,58.16,800,800,800,800,2850,2850,2850,1300,81.70,5500,99.00,852,55,44.10,1641,3.838
42,0,0,33.08,41.48,53.93,42.53,41.84,44.21,43.30,44.33,24.49,42.00,1500,1500,1500,1500,2850,2850,2850,2850,82.00,4266,98.00,852,55,44.10,1778,3.833
51,0,0,66.00,49.12,48.35,50.52,41.24,53.06,58.25,51.92,37.76,50.00,1050,1050,1050,1050,1000,1000,1000,1000,80.90,2667,98.00,852,55,44.10,1778,3.833
56,0,0,33.02,51.25,57.45,54.44,48.45,51.58,67.37,46.39,34.69,51.06,800,800,800,800,1600,1600,1600,500,78.80,4266,98.00,747,55,44.10,1778,3.833
51,0,0,49.51,45.33,54.46,49.00,33.33,41.24,50.51,45.92,39.60,47.00,2000,2000,2000,2000,1700,1700,1700,1700,81.20,5500,99.00,852,55,44.10,1566,3.851
53,0,0,33.06,43.62,52.48,49.50,39.58,45.10,38.30,39.18,40.00,43.56,850,850,850,850,2000,2000,2000,500,78.50,4266,93.00,555,55,44.10,1910,3.851
57,0,0,50.29,47.17,57.58,50.00,49.00,48.42,51.02,37.23,36.08,48.98,1400,1400,1400,1400,2000,2000,2000,2000,80.30,5500,97.00,852,55,44.10,1910,3.851
54,1,1,99.03,52.11,59.62,54.00,49.00,53.54,64.00,44.12,30.30,62.00,1050,1050,1050,1050,1800,1800,1800,2850,94.80,3200,97.00,830,55,44.10,1660,3.848
55,0,0,33.04,47.11,58.51,54.17,45.26,53.13,59.38,35.16,25.81,43.30,900,900,900,900,2150,2150,2150,2200,79.50,5500,99.00,773,55,44.10,1660,3.848
39,1,1,247.49,62.11,68.00,64.29,68.04,71.28,58.33,62.89,46.81,56.70,2000,2000,2000,2000,2850,2850,2850,2850,85.50,5500,92.00,852,55,44.10,1660,3.848
61,0,0,16.57,50.25,62.50,58.76,52.88,50.52,63.73,38.61,26.47,48.96,2000,2000,2000,2000,1100,1100,1100,1600,82.00,5500,96.00,852,55,44.10,2133,3.848
58,0,0,33.03,49.25,55.88,57.69,49.49,45.00,62.38,44.33,27.55,50.00,1100,1100,1100,1100,2000,2000,2000,2000,82.40,4266,96.00,852,55,44.10,1744,3.838
56,0,0,49.50,49.03,57.89,54.64,46.46,42.42,59.18,50.51,34.04,46.39,900,900,900,900,1400,1400,1400,1400,81.40,4266,99.00,852,55,44.10,1744,3.838
55,0,0,33.01,52.35,58.00,56.84,49.00,45.83,60.20,52.00,36.46,63.00,1500,1500,1500,1500,1200,1200,1200,1500,83.30,4266,97.00,852,55,44.10,1702,3.838
50,0,0,49.52,52.66,63.64,63.11,57.28,56.12,57.14,42.27,28.42,51.52,1100,1100,1100,1100,1200,1200,1200,500,82.60,6400,98.00,852,55,44.10,1702,3.835
55,0,0,33.05,60.36,69.39,63.54,59.18,61.46,64.29,59.57,34.41,67.35,1500,1500,1500,1500,1100,1100,1100,500,82.30,4266,97.00,852,55,44.10,1702,3.835
50,0,0,49.50,56.67,66.33,64.65,60.20,60.82,64.58,44.33,37.11,53.13,1500,1500,1500,1500,1400,1400,1400,500,77.70,3200,97.00,470,55,44.10,1611,3.835
56,0,0,49.53,60.05,73.47,66.67,72.45,69.79,66.67,50.53,29.79,52.63,2000,2000,2000,2000,800,800,800,500,76.70,5500,99.00,590,55,44.10,1146,3.838
60,0,0,16.58,60.25,71.28,72.00,71.11,71.88,66.67,42.27,35.00,50.00,1150,1150,1150,1150,900,900,900,800,74.90,4266,80.00,555,55,44.10,1146,3.838
49,1,1,98.99,61.24,77.17,74.49,70.21,67.02,62.77,49.45,30.77,57.89,2000,2000,2000,2000,2850,2850,2850,2850,83.90,6400,99.00,852,55,44.10,1002,3.838
60,0,0,33.00,53.70,63.64,58.00,52.04,51.52,60.20,49.02,38.78,57.84,1800,1800,1800,1800,1400,1400,1400,500,77.40,5500,71.00,830,55,44.10,1002,3.838
60,0,0,32.99,53.88,62.75,64.08,62.14,61.00,64.95,37.23,27.72,48.00,800,800,800,800,1500,1500,1500,700,78.30,5500,100.00,747,55,44.10,1002,3.84
58,0,0,33.00,53.50,64.13,63.54,62.00,63.00,56.25,44.79,25.53,47.37,2000,2000,2000,2000,2850,2850,2850,800,79.60,5500,99.00,852,55,44.10,1532,3.84
50,0,0,33.03,50.06,63.37,58.95,59.57,54.17,46.81,47.96,30.30,40.21,1900,1900,1900,1900,1400,1400,1400,500,79.90,2667,98.00,852,55,44.10,1744,3.84
55,0,0,33.08,56.38,64.58,58.95,58.25,54.08,64.58,53.00,44.90,54.08,1500,1500,1500,1500,1200,1200,1200,500,80.20,4266,98.00,852,55,44.10,1744,3.84
53,0,0,33.07,60.92,71.43,69.31,68.32,65.63,60.82,54.08,39.81,59.22,800,800,800,800,1000,1000,1000,1000,80.90,4266,98.00,852,55,44.10,1729,3.84
56,0,0,33.06,63.47,71.43,67.35,69.31,67.37,65.96,56.84,41.30,66.34,2000,2000,2000,2000,1400,1400,1400,1500,80.70,5500,95.00,852,55,44.10,1729,3.84
60,0,0,33.01,52.82,63.04,64.95,58.16,61.62,61.39,42.27,23.16,48.51,800,800,800,800,1400,1400,1400,1300,80.30,5500,98.00,800,55,44.10,1729,3.838
60,0,0,33.00,54.59,68.00,66.00,65.31,64.08,62.38,42.27,22.22,43.88,1100,1100,1100,1100,1400,1400,1400,1400,79.70,5500,92.00,800,55,44.10,1524,3.838
55,0,0,33.03,53.64,64.65,63.92,61.76,62.89,52.17,44.09,32.99,46.32,900,900,900,900,1600,1600,1600,500,80.90,4266,97.00,852,55,44.20,1524,3.838
59,0,0,33.02,54.27,68.37,64.13,65.66,60.22,60.20,41.49,27.84,44.79,1700,1700,1700,1700,1700,1700,1700,600,79.80,4266,98.00,800,55,44.20,1524,3.838
59,0,0,33.02,47.72,61.54,56.60,46.67,45.54,61.76,37.11,22.77,50.00,900,900,900,900,1500,1500,1500,500,80.40,6400,98.00,852,55,44.20,1539,3.838
56,0,0,33.03,47.24,59.41,54.46,48.45,48.45,54.64,45.36,24.21,42.11,1500,1500,1500,1500,1100,1100,1100,1100,80.20,6400,98.00,837,55,44.20,1539,3.838
56,0,0,33.01,47.72,55.56,54.46,45.54,43.30,58.95,43.88,30.30,48.51,2000,2000,2000,2000,1100,1100,1100,1000,81.40,4266,98.00,852,55,44.20,1539,3.838
53,0,0,49.51,46.79,54.55,47.87,45.00,43.69,47.42,38.95,53.13,43.01,2000,2000,2000,2000,1500,1500,1500,1500,81.70,5500,98.00,852,55,44.20,1645,3.839
53,0,0,33.02,52.01,62.38,59.22,56.44,50.00,47.37,45.45,38.00,54.55,800,800,800,800,2650,2650,2650,2650,82.70,6400,97.00,852,55,44.20,1645,3.839
41,0,0,65.98,42.61,53.40,48.54,41.51,47.92,40.82,41.00,28.42,40.59,900,900,900,900,1500,1500,1500,1400,80.70,4266,69.00,852,55,44.20,1645,3.839
53,0,0,33.02,52.64,58.00,54.55,51.49,63.92,53.68,54.90,37.00,46.94,1100,1100,1100,1100,1100,1100,1100,700,79.10,3200,89.00,590,55,44.20,1539,3.839
56,0,0,49.50,48.23,59.41,53.47,47.96,49.49,63.92,39.80,20.83,48.51,950,950,950,950,1200,1200,1200,2850,80.60,6400,97.00,852,55,44.20,1539,3.839
49,0,0,49.50,44.60,56.70,44.79,45.71,39.39,48.98,36.73,39.36,47.52,900,900,900,900,1800,1800,1800,500,81.10,4266,98.00,852,55,44.20,1539,3.839
56,0,0,33.05,51.95,62.38,59.62,58.16,53.54,63.00,40.59,25.77,52.04,2000,2000,2000,2000,1300,1300,1300,1200,76.80,4266,98.00,572,55,44.20,1615,3.828
57,0,0,33.00,53.86,66.67,67.01,59.00,58.00,56.99,44.33,34.69,44.68,950,950,950,950,1600,1600,1600,1600,79.50,4266,98.00,852,55,44.20,1615,3.828
51,1,1,82.52,50.32,64.95,63.16,56.25,56.70,63.16,34.34,23.16,43.14,1300,1300,1300,1300,1700,1700,1700,1100,78.60,3200,93.00,800,55,44.20,1615,3.828
58,0,0,49.50,46.65,63.11,58.82,59.22,60.20,55.00,27.55,16.16,30.39,1400,1400,1400,1400,800,800,800,500,71.90,1866,76.00,219,55,44.20,1430,3.828
60,0,0,32.94,51.67,69.47,65.98,72.73,66.32,58.00,31.58,19.15,29.00,1000,1000,1000,1000,800,800,800,500,68.90,2667,73.00,219,55,44.20,1430,3.868
61,0,0,16.60,56.22,77.32,72.55,73.74,72.53,55.79,36.84,24.21,32.99,1150,1150,1150,1150,800,800,800,800,67.60,3200,79.00,219,55,44.20,1430,3.868
60,0,0,33.02,52.88,75.00,69.39,74.23,67.37,59.60,33.33,19.15,26.04,1600,1600,1600,1600,1200,1200,1200,600,66.40,2133,70.00,219,55,44.20,620,3.868
60,0,0,32.97,45.58,67.01,61.00,52.58,57.89,57.29,28.00,14.74,27.00,1050,1050,1050,1050,800,800,800,500,65.60,2667,70.00,219,55,44.20,620,3.877
60,0,0,33.04,47.49,67.68,61.22,55.43,58.59,63.27,29.59,24.75,22.11,2000,2000,2000,2000,700,700,700,500,64.60,2667,90.00,219,55,44.20,620,3.877
59,0,0,33.00,46.28,62.11,59.00,50.00,55.79,66.67,28.00,23.23,23.47,950,950,950,950,500,500,500,500,63.20,1866,62.00,219,55,44.20,646,3.877
59,0,0,33.00,46.32,61.29,63.27,51.09,54.95,68.42,30.21,19.15,24.75,1100,1100,1100,1100,400,400,400,500,62.60,2133,97.00,219,55,44.20,646,3.878
60,0,0,33.03,51.45,68.54,67.02,67.01,60.42,67.71,30.00,22.68,28.57,2000,2000,2000,2000,600,600,600,500,62.50,2667,87.00,219,55,44.20,646,3.878
60,0,0,16.57,47.88,63.83,61.62,57.58,57.84,67.01,31.25,22.22,21.65,1900,1900,1900,1900,700,700,700,500,61.90,3200,85.00,219,55,44.20,571,3.878
60,0,0,33.01,50.26,68.13,62.89,60.20,62.24,66.34,33.33,23.47,26.80,1000,1000,1000,1000,500,500,500,500,61.90,1866,82.00,219,55,44.20,571,3.879
59,0,0,32.99,56.20,75.53,72.16,68.09,72.04,63.83,33.33,27.84,39.00,1000,1000,1000,1000,500,500,500,500,61.70,2667,70.00,219,55,44.20,571,3.879
60,0,0,33.00,56.56,75.76,70.97,73.96,71.88,67.71,35.96,24.18,26.32,2000,2000,2000,2000,700,700,700,2850,69.90,3200,65.00,219,55,44.20,631,3.879
60,0,0,33.00,55.13,70.53,68.93,63.16,62.77,56.70,33.98,23.47,61.22,1600,1600,1600,1600,500,500,500,500,61.60,1866,85.00,219,55,44.20,631,3.879
60,0,0,16.56,46.27,65.63,61.46,56.84,50.53,66.33,27.47,21.43,20.00,1250,1250,1250,1250,500,500,500,500,60.10,1866,76.00,219,55,44.20,631,3.881
60,0,0,33.01,46.49,66.67,56.38,55.88,56.12,64.58,29.59,17.02,27.45,1700,1700,1700,1700,400,400,400,500,59.70,1866,74.00,219,55,44.20,502,3.881
60,0,0,33.00,45.34,60.42,61.76,52.04,50.00,66.67,23.96,22.68,21.65,1300,1300,1300,1300,600,600,600,500,59.50,1866,79.00,219,55,43.90,502,3.881
60,0,0,33.00,51.18,71.13,63.16,66.67,64.29,64.58,32.98,24.47,21.65,1400,1400,1400,1400,400,400,400,500,59.70,2133,85.00,219,55,43.90,502,3.871
59,0,0,33.04,45.88,62.37,57.78,53.26,53.19,66.67,27.96,22.11,26.60,850,850,850,850,1400,1400,1400,500,60.40,2133,71.00,219,55,43.90,559,3.871
36,1,1,330.06,43.85,56.38,50.96,41.58,39.18,45.00,39.22,23.30,53.92,800,800,800,800,2850,2850,2850,2850,69.70,5500,0.00,219,55,43.90,559,3.871
18,1,1,99.00,45.85,60.82,48.42,44.90,41.84,26.73,37.37,25.26,83.16,800,800,800,800,1000,1000,1000,2850,72.70,6400,100.00,852,55,43.90,559,3.871
52,0,0,33.01,50.82,52.13,57.41,47.92,52.04,51.02,42.27,34.31,67.33,1600,1600,1600,1600,1000,1000,1000,2750,73.30,5500,99.00,852,55,43.90,2035,3.856
52,0,0,33.02,55.30,61.00,62.04,62.14,57.58,53.47,50.00,32.04,65.71,1700,1700,1700,1700,1800,1800,1800,1800,75.50,5500,100.00,852,55,43.90,2035,3.856
51,0,0,33.06,61.21,64.84,65.98,65.98,69.39,61.05,52.08,42.11,67.37,2000,2000,2000,2000,1500,1500,1500,1500,76.60,5500,100.00,852,55,43.90,2035,3.856
50,0,0,33.03,56.51,59.57,59.60,56.73,55.88,56.86,54.46,39.22,69.00,800,800,800,800,1700,1700,1700,500,77.30,5500,99.00,852,55,43.90,1880,3.836
50,0,0,33.16,62.50,65.17,70.71,68.69,65.31,56.84,51.49,42.11,79.41,1000,1000,1000,1000,1100,1100,1100,900,78.10,5500,99.00,852,55,43.90,1880,3.836